Author,Recommender,Title,category,google_id,pages,publication_date
Richard P. Feynman,Naval Ravikant | Ev Williams | Tim Ferriss | Peter Attia | Mark Zuckerberg | Noah Kagan | Brian Armstrong | Larry Page | Sergey Brin,"Surely You're Joking, Mr. Feynman!",['Biography & Autobiography'],_gA_DwAAQBAJ,352.0,2018-02-06
Richard P. Feynman,Naval Ravikant | Larry Page,What Do You Care What Other People Think?,['Biography & Autobiography'],vbMIlkpQXEkC,256.0,2011-02-14
Dan Harris,Peter Attia | Veronica Belmont,10% Happier,['Self-Help'],ycEKAgAAQBAJ,256.0,2014-03-11
Philip Smith,Naval Ravikant,100 Best-Loved Poems,['Poetry'],5mLcDAAAQBAJ,101.0,1995-10-04
Clint Emerson,Bob Iger,100 Deadly Skills,['Reference'],qLv_BgAAQBAJ,272.0,2015-10-13
Henry W. Simon,Eric Weinstein,100 Great Operas And Their Stories,['Music'],0MxvDwAAQBAJ,554.0,1989
Sonia Arrison,Peter Thiel,100 Plus,['Medical'],fG3eW9PG-50C,272.0,2011-08-23
Nilofer Merchant,Kathryn Minshew,11 Rules for Creating Value in the Social Era,['Business & Economics'],gEXy1TjeMa8C,88.0,2012-09-12
Jordan Peterson,Naval Ravikant | Jocko Willink | Marc Andreessen | George Raveling,12 Rules for Life,['PHILOSOPHY'],sxVHDwAAQBAJ,409.0,2018
Michael Brooks,Bill Gates,13 Things That Don't Make Sense,['Science'],euuftB3bkUgC,240.0,2010
Gavin Menzies,Simon Sinek,1421,['History'],lD7S4QLUjBkC,649.0,2004
Jary,Jocko Willink,18 Platoon,['Great Britain'],NYTxAAAACAAJ,138.0,1994-01-01
Jay Winik,Keith Rabois,1944,['History'],kjsjBQAAQBAJ,656.0,2015-09-22
George Orwell,Jordan Peterson | Emma Watson | Noam Chomsky | Richard Branson | Matt Mullenweg | J. Cole | Tristan Harris,1984,['Fiction'],kotPYEqx7kMC,648.0,1983-10-17
Haruki Murakami,Adam Savage,1Q84,['Fiction'],AJUqyrOSO38C,944.0,2011-10-25
Yuval Noah Harari,Bill Gates | Joe Rogan | Vinod Khosla | Jack Dorsey | Fareed Zakaria,21 Lessons for the 21st Century,['History'],MSKEDwAAQBAJ,400.0,2019-01-29
Tiffany Shlain,Arianna Huffington,24/6,['Self-Help'],FIqrDwAAQBAJ,256.0,2019-09-24
Sarah Manguso,Frank Blake,300 Arguments,['Biography & Autobiography'],KW8ODQAAQBAJ,104.0,2017-02-07
Rebecca Goldstein,Steven Pinker,36 Arguments for the Existence of God,['Fiction'],TyyJJcED_2IC,506.0,2011
Howard G Buffett,Warren Buffett,40 Chances,['Biography & Autobiography'],8UdYAQAAQBAJ,443.0,2013-10-22
Dan Miller,Dave Ramsey,48 Days to the Work You Love,['Business & Economics'],sfrip5ufm6MC,222.0,2010
Jim Wendler,Mark Bell,5/3/1,['Exercise'],lsEKywAACAAJ,102.0,2011-08-01
Richard Wiseman,Mr. Money Mustache | Jeff Atwood | Charles Poliquin,59 Seconds,['Psychology'],32kPHcoU2EYC,240.0,2009-12-29
Lee Child,Malcolm Gladwell,61 Hours,['Fiction'],ys_e1Jaxh4UC,400.0,2010-05-18
Hamilton Helmer,Keith Rabois,7 Powers,['Business & Economics'],heEuvgAACAAJ,210.0,2016-10-25
Andrew Weil,Kevin Rose,8 Weeks to Optimum Health,['Health & Fitness'],qeBMhtaGBacC,320.0,2013-07-17
Ken Wilber,Dave Elitch,A Brief History of Everything,['Philosophy'],c9shMX7HLY0C,548.0,2007
Marlon James,Anthony Bourdain,A Brief History of Seven Killings,['Fiction'],XR90AwAAQBAJ,704.0,2014-10-02
Stephen Hawking,Richard Branson,A Brief History of Time,['Science'],oZhagX6UWOMC,224.0,2011-05-04
Pete Sampras,Bill Gates,A Champion's Mind,['Biography & Autobiography'],TXr0fNBuBigC,306.0,2009
Charles Dickens,Larry King,A Christmas Carol,['Juvenile Fiction'],D0zFr3xc4bMC,64.0,2010-09-01
George R. R. Martin,Elon Musk,A Clash of Kings,['Fiction'],v7eWDwAAQBAJ,1009.0,2012
George Orwell,Gretchen Rubin,A Collection of Essays,['Literary Criticism'],2PXLskAHQE4C,324.0,1970-10-21
Michael Spivak,Eric Weinstein | Eric Weinstein | Eric Weinstein | Eric Weinstein | Eric Weinstein,A Comprehensive Introduction to Differential Geometry,['Mathematics'],m6UrAAAAYAAJ,423.0,1979
John Kennedy Toole,Jesse Williams | Jerrod Carmichael,A Confederacy of Dunces,['Fiction'],Hg0jKHsj6DMC,416.0,2007-12-01
Douard Goursat,Patrick Collison,A Course in Mathematical Analysis,['History'],Betn-fegah8C,274.0,2009-07
Dr. Helen Schucman,Carlos Santana | Ed Latimore,A Course in Miracles,['Self-Help'],LwB1DwAAQBAJ,312.0,2018-10-27
Károly Simonyi,Naval Ravikant,A Cultural History of Physics,['Mathematics'],Bmcpsgp-Ml4C,636.0,2012-01-25
Joel Mokyr,Patrick Collison,A Culture of Growth,['Business & Economics'],AOf-CwAAQBAJ,400.0,2016-10-25
John S. Hendricks,Mike Rowe,A Curious Discovery,['Biography & Autobiography'],l0coXgnnS1kC,384.0,2013-06-25
Brian Grazer,Karlie Kloss,A Curious Mind,['Biography & Autobiography'],B08ADAAAQBAJ,320.0,2016-04-26
George R. R. Martin,Elon Musk,A Dance with Dragons,['Fiction'],uPqLDQAAQBAJ,1152.0,2015
James Agee,Judd Apatow,A Death in the Family,['Fiction'],4nbtAtAxLqkC,310.0,1998
Jim Rooney,Barack Obama,A Different Way to Win,['Biography & Autobiography'],J4_BygEACAAJ,232.0,2019-11-14
Will Durant,Donald Knuth,A Dual Autobiography,['History'],F6kfAAAAMAAJ,420.0,1977
Frederick Exley,Judd Apatow | Richard Betts,A Fan's Notes,['Fiction'],dCZFiEqVvuIC,385.0,1988
Ernest Hemingway,Jordan Peterson,A Farewell to Arms,['Fiction'],2_XH0Z81_ZEC,305.0,1997-04-01
George R. R. Martin,Elon Musk,A Feast for Crows,['Fiction'],Ed6MDQAAQBAJ,753.0,2014
Harry Crews,Cal Fussman,A Feast of Snakes,['Fiction'],eGgUjNJfZeQC,192.0,1998-01-07
Peter Bevelin,Warren Buffett,A Few Lessons for Investors and Managers From Warren Buffett,['Investments'],_LGhMwEACAAJ,81.0,2012
Rebecca Solnit,Matt Mullenweg | Sarah Lewis,A Field Guide to Getting Lost,['Biography & Autobiography'],mgK5EdIQDL4C,224.0,2006-06-27
Rohinton Mistry,Oprah Winfrey | Alicia Keys | Jacqueline Novogratz,A Fine Balance,['Fiction'],WcaFd95RABEC,624.0,2010-07-21
Jimmy Carter,Bill Gates | Richard Branson,A Full Life,['Biography & Autobiography'],G-upDAAAQBAJ,272.0,2016-07-19
George R. R. Martin,Elon Musk,A Game of Thrones,['FICTION'],HWQYDQAAQBAJ,896.0,2016
Amor Towles,Bill Gates | Barack Obama | Brian Koppelman,A Gentleman in Moscow,['Fiction'],-9CLDwAAQBAJ,496.0,2019-03
James Lord,Rainn Wilson,A Giacometti Portrait,['Art'],OIdxFO6USZYC,117.0,1980-07
Mark Shriver,Bryan Johnson,A Good Man,['Biography & Autobiography'],xt-i-rjJMjwC,288.0,2012-06-05
Jason DeParle,Fareed Zakaria,A Good Provider Is One Who Leaves,['History'],55x7DwAAQBAJ,400.0,2019-08-20
Ngugi wa Thiong'o,Barack Obama,A Grain of Wheat,['Fiction'],whsbJogawqEC,247.0,1986
Alexander J. Field Ph.D.,Patrick Collison,A Great Leap Forward,['Business & Economics'],n2tXIWa8PoYC,398.0,2011
Helmut Kopka,Eric Weinstein,A Guide to LATEX,['Computerized typesetting'],k5iOAQAACAAJ,436.0,1993
William B. Irvine,Marc Andreessen | Mr. Money Mustache | Tobi Lütke | Derek Sivers | David Heinemeier Hansson | Jason Fried | Phil Libin,A Guide to the Good Life,['Psychology'],yQ59JV_9AfIC,336.0,2008-11-04
Carol K. Anthony,Jimmy Chin,A Guide to the I Ching,"['Body, Mind & Spirit']",-VoMMQAACAAJ,314.0,1988
Dave Eggers,Ev Williams | Sam Altman,A Heartbreaking Work of Staggering Genius,['Biography & Autobiography'],OSfpEJpJzrIC,416.0,2013-02-12
James Comey,Marc Andreessen,A Higher Loyalty,['Biography & Autobiography'],4CovDwAAQBAJ,416.0,2018-04-17
Fernand Braudel,Stewart Brand,A History of Civilizations,['History'],im_HHEpf-msC,600.0,1995
Jürg Niehans,Eric Weinstein,A History of Economic Theory,['Business & Economics'],Qn8NBYTugoYC,578.0,1994-10
Mircea Eliade,Jordan Peterson,"A History of Religious Ideas, Vol. 1",['Religion'],RKjbAgAAQBAJ,510.0,2014-02-14
Mircea Eliade,Jordan Peterson,"A History of Religious Ideas, Vol. 2",['Religion'],qWBGxgEACAAJ,,1978
Mircea Eliade,Jordan Peterson,"A History of Religious Ideas, Vol. 3",['Religion'],hZ33xQEACAAJ,,1984
Moses Hadas,Paul Graham,A History of Rome,['Rome'],MaB6xwEACAAJ,305.0,1956
Friedrich Klemm,Nick Szabo,A History of Western Technology,['Science'],RPllAAAACAAJ,401.0,1964-07
